Year,Baseline,JET SDG,SDG Push
2019,0.716,0.716,0.716
2020,0.714,0.714,0.714
2021,0.718,0.718,0.718
2022,0.721,0.721,0.721
2023,0.723,0.723,0.723
2024,0.725,0.725,0.725
2025,0.727,0.728,0.728
2026,0.73,0.73,0.73
2027,0.732,0.733,0.733
2028,0.734,0.736,0.736
2029,0.736,0.739,0.739
2030,0.738,0.742,0.742
2031,0.74,0.745,0.745
2032,0.743,0.749,0.748
2033,0.745,0.752,0.751
2034,0.747,0.755,0.754
2035,0.749,0.758,0.757
2036,0.751,0.761,0.76
2037,0.753,0.764,0.763
2038,0.756,0.767,0.766
2039,0.758,0.771,0.769
2040,0.76,0.774,0.773
2041,0.762,0.777,0.776
2042,0.765,0.78,0.779
2043,0.767,0.783,0.782
2044,0.769,0.787,0.785
2045,0.772,0.79,0.788
2046,0.774,0.793,0.791
2047,0.776,0.796,0.794
2048,0.778,0.799,0.797
2049,0.78,0.802,0.8
2050,0.782,0.805,0.803
2051,0.784,0.808,0.806
2052,0.787,0.811,0.809
2053,0.789,0.814,0.812
2054,0.791,0.817,0.815
2055,0.793,0.82,0.818
2056,0.795,0.823,0.821
2057,0.798,0.826,0.824
2058,0.8,0.829,0.827
2059,0.802,0.833,0.83
2060,0.804,0.836,0.833
2061,0.807,0.839,0.836
2062,0.809,0.842,0.839
2063,0.811,0.845,0.842
2064,0.814,0.849,0.845
2065,0.816,0.852,0.849
2066,0.818,0.855,0.852
2067,0.821,0.858,0.855
2068,0.823,0.861,0.858
2069,0.825,0.865,0.861
2070,0.828,0.868,0.865
2071,0.83,0.871,0.868
2072,0.833,0.874,0.871
2073,0.835,0.877,0.874
2074,0.837,0.88,0.877
2075,0.84,0.883,0.88
2076,0.842,0.886,0.883
2077,0.845,0.889,0.886
2078,0.847,0.892,0.889
2079,0.849,0.895,0.892
2080,0.852,0.898,0.895
2081,0.854,0.901,0.898
2082,0.856,0.904,0.901
2083,0.858,0.907,0.904
2084,0.861,0.91,0.907
2085,0.863,0.913,0.91
2086,0.865,0.916,0.913
2087,0.868,0.918,0.916
2088,0.87,0.921,0.919
2089,0.872,0.924,0.921
2090,0.875,0.927,0.924
2091,0.877,0.93,0.927
2092,0.879,0.932,0.93
2093,0.881,0.935,0.932
2094,0.884,0.938,0.935
2095,0.886,0.94,0.938
2096,0.888,0.943,0.94
2097,0.89,0.945,0.943
2098,0.892,0.948,0.946
2099,0.894,0.95,0.948
2100,0.896,0.953,0.951
