Baseline,JET SDG,SDG Push,Year,indicator
9.538,9.538,9.538,2019,CarbonEmissions
9.571,9.571,9.571,2020,CarbonEmissions
9.652,9.652,9.652,2021,CarbonEmissions
9.762,9.762,9.762,2022,CarbonEmissions
9.85,9.851,9.85,2023,CarbonEmissions
9.858,9.859,9.858,2024,CarbonEmissions
9.834,9.834,9.834,2025,CarbonEmissions
9.84,9.719,9.84,2026,CarbonEmissions
9.878,9.491,9.876,2027,CarbonEmissions
9.944,9.17,9.937,2028,CarbonEmissions
10.04,8.806,10.04,2029,CarbonEmissions
10.15,8.434,10.16,2030,CarbonEmissions
10.23,8.079,10.26,2031,CarbonEmissions
10.26,7.766,10.32,2032,CarbonEmissions
10.26,7.494,10.34,2033,CarbonEmissions
10.24,7.258,10.34,2034,CarbonEmissions
10.21,7.043,10.34,2035,CarbonEmissions
10.18,6.848,10.34,2036,CarbonEmissions
10.15,6.658,10.34,2037,CarbonEmissions
10.11,6.441,10.32,2038,CarbonEmissions
10.08,6.187,10.3,2039,CarbonEmissions
10.08,5.906,10.31,2040,CarbonEmissions
10.07,5.614,10.33,2041,CarbonEmissions
10.06,5.322,10.35,2042,CarbonEmissions
10.06,5.029,10.36,2043,CarbonEmissions
10.02,4.744,10.34,2044,CarbonEmissions
9.968,4.466,10.3,2045,CarbonEmissions
9.912,4.199,10.26,2046,CarbonEmissions
9.851,3.949,10.22,2047,CarbonEmissions
9.792,3.737,10.17,2048,CarbonEmissions
9.731,3.553,10.13,2049,CarbonEmissions
9.677,3.395,10.12,2050,CarbonEmissions
9.613,3.264,10.1,2051,CarbonEmissions
9.545,3.164,10.06,2052,CarbonEmissions
9.473,3.076,10,2053,CarbonEmissions
9.398,2.995,9.941,2054,CarbonEmissions
9.324,2.912,9.878,2055,CarbonEmissions
9.248,2.821,9.815,2056,CarbonEmissions
9.169,2.708,9.747,2057,CarbonEmissions
9.086,2.589,9.678,2058,CarbonEmissions
9.003,2.463,9.601,2059,CarbonEmissions
8.914,2.34,9.528,2060,CarbonEmissions
8.822,2.22,9.453,2061,CarbonEmissions
8.729,2.1,9.383,2062,CarbonEmissions
8.641,1.987,9.31,2063,CarbonEmissions
8.548,1.878,9.244,2064,CarbonEmissions
8.455,1.774,9.179,2065,CarbonEmissions
8.359,1.686,9.118,2066,CarbonEmissions
8.262,1.607,9.053,2067,CarbonEmissions
8.162,1.534,8.987,2068,CarbonEmissions
8.064,1.468,8.907,2069,CarbonEmissions
7.956,1.409,8.816,2070,CarbonEmissions
7.85,1.359,8.71,2071,CarbonEmissions
7.736,1.315,8.589,2072,CarbonEmissions
7.617,1.277,8.472,2073,CarbonEmissions
7.499,1.245,8.365,2074,CarbonEmissions
7.387,1.214,8.272,2075,CarbonEmissions
7.279,1.187,8.177,2076,CarbonEmissions
7.18,1.158,8.089,2077,CarbonEmissions
7.08,1.131,7.996,2078,CarbonEmissions
6.981,1.101,7.893,2079,CarbonEmissions
6.885,1.07,7.79,2080,CarbonEmissions
6.793,1.037,7.686,2081,CarbonEmissions
6.697,1.003,7.583,2082,CarbonEmissions
6.601,0.969,7.482,2083,CarbonEmissions
6.505,0.934,7.384,2084,CarbonEmissions
6.414,0.899,7.281,2085,CarbonEmissions
