Baseline,JET SDG,SDG Push,Year,indicator
1.136,1.136,1.136,2019,CarbonEmissions
1.184,1.184,1.184,2020,CarbonEmissions
1.214,1.214,1.214,2021,CarbonEmissions
1.242,1.242,1.242,2022,CarbonEmissions
1.285,1.285,1.285,2023,CarbonEmissions
1.321,1.321,1.321,2024,CarbonEmissions
1.342,1.379,1.342,2025,CarbonEmissions
1.37,1.433,1.369,2026,CarbonEmissions
1.4,1.471,1.399,2027,CarbonEmissions
1.43,1.492,1.429,2028,CarbonEmissions
1.463,1.5,1.463,2029,CarbonEmissions
1.5,1.504,1.502,2030,CarbonEmissions
1.525,1.499,1.53,2031,CarbonEmissions
1.548,1.5,1.557,2032,CarbonEmissions
1.566,1.506,1.579,2033,CarbonEmissions
1.583,1.515,1.598,2034,CarbonEmissions
1.6,1.522,1.618,2035,CarbonEmissions
1.619,1.53,1.641,2036,CarbonEmissions
1.638,1.538,1.665,2037,CarbonEmissions
1.657,1.536,1.687,2038,CarbonEmissions
1.676,1.521,1.708,2039,CarbonEmissions
1.696,1.488,1.731,2040,CarbonEmissions
1.715,1.446,1.755,2041,CarbonEmissions
1.733,1.397,1.777,2042,CarbonEmissions
1.75,1.343,1.798,2043,CarbonEmissions
1.763,1.288,1.815,2044,CarbonEmissions
1.775,1.233,1.829,2045,CarbonEmissions
1.784,1.18,1.842,2046,CarbonEmissions
1.792,1.13,1.854,2047,CarbonEmissions
1.799,1.087,1.864,2048,CarbonEmissions
1.805,1.052,1.874,2049,CarbonEmissions
1.81,1.024,1.887,2050,CarbonEmissions
1.813,1.003,1.896,2051,CarbonEmissions
1.815,0.987,1.903,2052,CarbonEmissions
1.814,0.974,1.907,2053,CarbonEmissions
1.812,0.961,1.91,2054,CarbonEmissions
1.81,0.945,1.911,2055,CarbonEmissions
1.806,0.924,1.912,2056,CarbonEmissions
1.8,0.9,1.91,2057,CarbonEmissions
1.793,0.871,1.908,2058,CarbonEmissions
1.785,0.842,1.904,2059,CarbonEmissions
1.775,0.81,1.899,2060,CarbonEmissions
1.764,0.779,1.894,2061,CarbonEmissions
1.752,0.748,1.889,2062,CarbonEmissions
1.739,0.718,1.882,2063,CarbonEmissions
1.725,0.689,1.877,2064,CarbonEmissions
1.71,0.665,1.87,2065,CarbonEmissions
1.694,0.643,1.865,2066,CarbonEmissions
1.678,0.623,1.858,2067,CarbonEmissions
1.66,0.604,1.851,2068,CarbonEmissions
1.644,0.587,1.843,2069,CarbonEmissions
1.626,0.57,1.833,2070,CarbonEmissions
1.61,0.557,1.822,2071,CarbonEmissions
1.592,0.546,1.808,2072,CarbonEmissions
1.574,0.536,1.794,2073,CarbonEmissions
1.554,0.528,1.78,2074,CarbonEmissions
1.536,0.52,1.767,2075,CarbonEmissions
1.518,0.514,1.751,2076,CarbonEmissions
1.501,0.507,1.735,2077,CarbonEmissions
1.483,0.501,1.718,2078,CarbonEmissions
1.464,0.494,1.699,2079,CarbonEmissions
1.446,0.487,1.68,2080,CarbonEmissions
1.429,0.48,1.661,2081,CarbonEmissions
1.41,0.472,1.644,2082,CarbonEmissions
1.391,0.464,1.628,2083,CarbonEmissions
1.374,0.456,1.613,2084,CarbonEmissions
1.357,0.448,1.599,2085,CarbonEmissions
1.341,0.44,1.584,2086,CarbonEmissions
1.326,0.432,1.57,2087,CarbonEmissions
1.312,0.425,1.559,2088,CarbonEmissions
1.3,0.418,1.546,2089,CarbonEmissions
1.29,0.411,1.534,2090,CarbonEmissions
1.281,0.406,1.522,2091,CarbonEmissions
1.271,0.401,1.51,2092,CarbonEmissions
1.261,0.397,1.498,2093,CarbonEmissions
1.251,0.395,1.487,2094,CarbonEmissions
1.24,0.395,1.478,2095,CarbonEmissions
1.23,0.396,1.474,2096,CarbonEmissions
1.219,0.399,1.467,2097,CarbonEmissions
1.209,0.403,1.457,2098,CarbonEmissions
1.198,0.409,1.444,2099,CarbonEmissions
1.185,0.415,1.427,2100,CarbonEmissions
0.562,0.562,0.562,2019,CarbonEmissions_per_capita
0.579,0.579,0.579,2020,CarbonEmissions_per_capita
0.587,0.587,0.587,2021,CarbonEmissions_per_capita
0.594,0.594,0.594,2022,CarbonEmissions_per_capita
0.608,0.608,0.608,2023,CarbonEmissions_per_capita
0.618,0.618,0.618,2024,CarbonEmissions_per_capita
0.621,0.639,0.621,2025,CarbonEmissions_per_capita
0.628,0.657,0.628,2026,CarbonEmissions_per_capita
0.636,0.668,0.635,2027,CarbonEmissions_per_capita
0.643,0.671,0.643,2028,CarbonEmissions_per_capita
0.652,0.669,0.652,2029,CarbonEmissions_per_capita
0.663,0.665,0.664,2030,CarbonEmissions_per_capita
0.668,0.658,0.671,2031,CarbonEmissions_per_capita
0.673,0.653,0.678,2032,CarbonEmissions_per_capita
0.676,0.65,0.682,2033,CarbonEmissions_per_capita
0.678,0.65,0.685,2034,CarbonEmissions_per_capita
0.681,0.648,0.689,2035,CarbonEmissions_per_capita
0.684,0.647,0.694,2036,CarbonEmissions_per_capita
0.687,0.646,0.7,2037,CarbonEmissions_per_capita
0.691,0.641,0.704,2038,CarbonEmissions_per_capita
